model,train_domain,ind_f1_mean,ind_f1_std,ood_f1_mean,ood_f1_std,abs_drop,rel_drop_pct,ind_acc_mean,ind_acc_std,ood_acc_mean,ood_acc_std,abs_drop_acc
SVM,imdb,0.9083469056607582,0.002491908280080117,0.7670816259395604,0.10356238032926773,0.14126527972119773,15.551908509936217,0.90786,0.0025647611974606516,0.7745045082161836,0.05359711548314734,0.13335549178381645
SVM,rotten,0.7776467832323413,0.005175624647345867,0.7229637878390534,0.11174052711170607,0.054682995393287914,7.031855152283194,0.7773554755475548,0.0048670699584156905,0.7627342705612286,0.06804904357881646,0.014621204986326242
SVM,amazon,0.8830001865349859,0.0038443111471900054,0.6951671104441043,0.16221947769208347,0.18783307609088162,21.272144553894652,0.9262407979102351,0.0026262011495509895,0.6967823617005673,0.12234952496629149,0.22945843620966777
SVM,yelp,0.9471396267617898,0.0035271670144536196,0.7333726423745461,0.04001257435810708,0.21376698438724362,22.56974350424967,0.9112,0.005837379549078528,0.6972003137170889,0.11025471493568757,0.2139996862829111
LSTM,imdb,0.8826480255031355,0.005589152411131142,0.7239982524915054,0.1086422572661842,0.15864977301163008,17.974296483719545,0.8820399999999999,0.003636344318130499,0.7361616927961452,0.03767118273772907,0.14587830720385475
LSTM,rotten,0.7669083588087993,0.007256522025116543,0.6490575573903127,0.09471496680296611,0.11785080141848658,15.366999207250576,0.7753154915491549,0.005292940283260929,0.6916255483258134,0.06625194325283261,0.08368994322334156
LSTM,amazon,0.8666365381025258,0.012122144220711345,0.6618683746433035,0.15239517894675716,0.20476816345922233,23.627917178238985,0.9165518879126099,0.005514802562598298,0.6708357401014686,0.10184476572079676,0.24571614781114126
LSTM,yelp,0.9334862199534608,0.007328314915479565,0.6946420112585978,0.032410719483446995,0.238844208694863,25.58625972076702,0.8868,0.012477980605851235,0.6404966671598199,0.09100650839344922,0.24630333284018013
MiniLM,imdb,0.8249977140394472,0.0015394922811799874,0.7454906105429259,0.13870272356613517,0.07950710349652135,9.63725136973164,0.82456,0.0012521980673998556,0.7240437893446224,0.11124552563083717,0.10051621065537752
MiniLM,rotten,0.7357351760694959,0.007623415384965068,0.7510123373624682,0.10008645627933409,-0.015277161292972297,-2.0764484001685477,0.736494801480148,0.007305364360822476,0.7929321437504947,0.016489772549468127,-0.05643734227034669
MiniLM,amazon,0.8480604972897858,0.0067463730239698426,0.7775354079445523,0.10416664774189618,0.0705250893452335,8.316044618351652,0.9000237473284255,0.005101531954153527,0.7354895122969126,0.09924327058414621,0.16453423503151288
MiniLM,yelp,0.8950636624012361,0.007070147400771997,0.6855423596308818,0.026808789951141686,0.2095213027703543,23.408536350169783,0.8367000000000001,0.009966192853843484,0.7562115046519152,0.06541614879438153,0.08048849534808489
DistilBERT,imdb,0.8843327689741789,0.005713673518753812,0.8097411181961418,0.042720207786709284,0.07459165077803709,8.434794389058204,0.88566,0.0018392933425639454,0.8164791601425949,0.043068772988553834,0.06918083985740509
DistilBERT,rotten,0.844681763842317,0.0031941397240247155,0.7875983260340204,0.0622296676419813,0.05708343780829661,6.7579815561109715,0.8451768476847684,0.0052219688122695125,0.81382086598591,0.04774884922917289,0.03135598169885845
DistilBERT,amazon,0.8927498755683482,0.0035430059230319865,0.7707640745227639,0.10537010684078549,0.12198580104558432,13.664051307531679,0.9321776300166231,0.002872347112649444,0.752719136302726,0.08037189133881427,0.1794584937138971
DistilBERT,yelp,0.9447213047527601,0.004004564843181308,0.7649718520745991,0.03216990636630823,0.179749452678161,19.026717379386575,0.9064,0.006542170893518448,0.7454486238067736,0.09317071724311117,0.16095137619322641
