model,balans,ood_f1_mean,ood_f1_std
SVM,niezbalansowana,0.7142698764093252,0.11770415583411624
SVM,zbalansowana,0.7450227068893068,0.1082069290839022
LSTM,niezbalansowana,0.6782551929509507,0.10952912833776995
LSTM,zbalansowana,0.6865279049409091,0.10715083123113571
MiniLM,niezbalansowana,0.731538883787717,0.08816951367742823
MiniLM,zbalansowana,0.7482514739526971,0.11887534627036626
DistilBERT,niezbalansowana,0.7678679632986813,0.07660473918090183
DistilBERT,zbalansowana,0.798669722115081,0.053640868995090935
