model,ood_f1_mean,ood_f1_std,ood_f1_median,ind_f1_mean,overall_drop
SVM,0.7296462916493159,0.1131605485400551,0.7365192331441328,0.8790333755474687,0.1493870838981528
LSTM,0.6823915489459299,0.10750534503903272,0.6841149978098497,0.8624197855919803,0.1800282366460504
MiniLM,0.7398951788702071,0.10410561633099595,0.7238948281578622,0.8259642624499912,0.08606908357978416
DistilBERT,0.7832688427068812,0.06737882570464859,0.7855369307134046,0.8916214282844009,0.1083525855775197
