model_a,model_b,mean_diff,std_diff,t_stat,t_p,t_p_bonf,w_stat,w_p,w_p_bonf
SVM,LSTM,0.04725474270338615,0.0419434460790999,8.726838094055744,3.2674714948744033e-12,1.9604828969246418e-11,86.0,1.0424652717203269e-09,6.2547916303219615e-09
SVM,MiniLM,-0.010248887220891003,0.06781766334407102,-1.1706026886324183,0.24646502944272825,1.0,827.0,0.5171006897852737,1.0
SVM,DistilBERT,-0.05362255105756521,0.06623099226737338,-6.271361491572085,4.565033060818085e-08,2.739019836490851e-07,225.0,3.784174323743986e-07,2.2705045942463918e-06
LSTM,MiniLM,-0.05750362992427717,0.0677531027993935,-6.574181604718879,1.4164450514035778e-08,8.498670308421466e-08,232.0,4.956868670525348e-07,2.9741212023152086e-06
LSTM,DistilBERT,-0.10087729376095138,0.06340637663882466,-12.323557959229264,5.819872349546604e-18,3.4919234097279625e-17,16.0,3.638913908513072e-11,2.183348345107843e-10
MiniLM,DistilBERT,-0.043373663836674216,0.06925095793534461,-4.851499032266843,9.327495832346095e-06,5.596497499407657e-05,348.0,2.9925976692830513e-05,0.00017955586015698307
