train_domain,test_domain,fold,accuracy,precision,recall,f1,eval_type
rotten,rotten,5,0.74007400740074,0.7374876360039565,0.7456,0.7415216310293387,IND
rotten,imdb,5,0.78776,0.8053480475382003,0.75896,0.7814662273476112,OOD
rotten,amazon,5,0.8133459985751603,0.8872453251465252,0.474123788217748,0.6180015552099534,OOD
rotten,yelp,5,0.7789,0.9574913935039665,0.7685007208073041,0.852649116961013,OOD
amazon,amazon,1,0.893849441937782,0.8057455540355677,0.8784489187173751,0.8405280057081698,IND
amazon,imdb,1,0.71996,0.7127766599597586,0.73684,0.7246086067185902,OOD
amazon,rotten,1,0.629492589851797,0.5985930505222767,0.78624,0.6797033041132838,OOD
amazon,yelp,1,0.8574,0.9070096766580128,0.9233541566554541,0.9151089415406596,OOD
amazon,amazon,2,0.9031109000237473,0.8301486199575372,0.8747203579418344,0.8518518518518519,IND
amazon,imdb,2,0.72266,0.7122916746119522,0.74708,0.7292711973604576,OOD
amazon,rotten,2,0.6314326286525731,0.6000243516376477,0.78848,0.6814630436285695,OOD
amazon,yelp,2,0.8606,0.9073595109334588,0.927198462277751,0.9171717171717172,OOD
amazon,amazon,3,0.8990738541914035,0.8202797202797203,0.8747203579418344,0.8466257668711656,IND
amazon,imdb,3,0.72396,0.7062246777163904,0.76696,0.7353403643336529,OOD
amazon,rotten,3,0.627912558251165,0.5955425430210325,0.79736,0.6818306197838282,OOD
amazon,yelp,3,0.862,0.9019448946515397,0.935968284478616,0.9186416696144323,OOD
amazon,amazon,4,0.8971740679173593,0.8174825174825174,0.8717375093214019,0.8437387224828582,IND
amazon,imdb,4,0.72256,0.7001294870872599,0.7786,0.7372826786864134,OOD
amazon,rotten,4,0.626032520650413,0.5916734551379029,0.81348,0.6850704035572324,OOD
amazon,yelp,4,0.8605,0.9041175784439519,0.9311629024507448,0.9174409658519264,OOD
amazon,amazon,5,0.9069104725718357,0.8362863217576187,0.8799403430275914,0.8575581395348837,IND
amazon,imdb,5,0.70948,0.675338154546672,0.80684,0.735255522344536,OOD
amazon,rotten,5,0.619352387047741,0.5826409659909162,0.84152,0.6885514171630556,OOD
amazon,yelp,5,0.859,0.9057511737089202,0.9270783277270543,0.9162906672999288,OOD
yelp,yelp,1,0.8395,0.9686192468619247,0.8342342342342343,0.8964181994191674,IND
yelp,imdb,1,0.75048,0.8191315869941902,0.64292,0.7204069741383174,OOD
yelp,rotten,1,0.6818536370727415,0.7151171043293115,0.60456,0.655207543080091,OOD
yelp,amazon,1,0.833721206364284,0.8959466139396935,0.540641312453393,0.674355873872198,OOD
yelp,yelp,2,0.8485,0.9658002735978112,0.848048048048048,0.9031020147105853,IND
yelp,imdb,2,0.74752,0.8228970987267794,0.6308,0.7141563264197084,OOD
yelp,rotten,2,0.6806736134722694,0.7156497660651199,0.5996,0.652505114699865,OOD
