train_domain,fold,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1
imdb,1,0.996475,0.996475,0.9960533546485487,0.9969,0.9964764974885674,0.9073,0.9073,0.9047903001391373,0.9104,0.9075864819060911
imdb,2,0.996475,0.996475,0.9965494824223634,0.9964,0.9964747356051704,0.908,0.908,0.903960396039604,0.913,0.9084577114427861
imdb,3,0.99675,0.99675,0.9967003299670033,0.9968,0.9967501624918754,0.9044,0.9044,0.899604743083004,0.9104,0.9049701789264414
imdb,4,0.99665,0.99665,0.9965010496850945,0.9968,0.9966505024246363,0.908,0.908,0.9007858546168959,0.917,0.908820614469772
imdb,5,0.996175,0.996175,0.9957040811229332,0.99665,0.9961768160123942,0.9116,0.9116,0.9088200238379023,0.915,0.9118995415587005
rotten,1,0.9803245081127028,0.9803245862293115,0.9833459119496856,0.9772,0.9802633228840125,0.7742,0.7742,0.7739808153477218,0.7746,0.7742902838864454
rotten,2,0.9791994799869996,0.9791995474773738,0.9818017293384275,0.9765,0.9791436879574852,0.7736,0.7736000000000001,0.7713209044030147,0.7778,0.7745469030073691
rotten,3,0.9807995199879997,0.980799604980249,0.9840918244059605,0.9774,0.9807344972907887,0.7838,0.7838,0.7812128418549346,0.7884,0.7847899661556839
rotten,4,0.9802495062376559,0.9802496012300614,0.9839278516727126,0.97645,0.9801746637221441,0.7814,0.7814000000000001,0.7811750599520384,0.7818,0.7814874050379849
rotten,5,0.980025,0.980025,0.9835793079131617,0.97635,0.9799513211050611,0.7737773777377738,0.7737776755351071,0.7754527162977867,0.7708,0.7731193580742227
amazon,1,0.9901448587033959,0.9926707148183658,0.9703221136445892,0.9996271439224459,0.9847566574839303,0.9263832818807884,0.9154024637082421,0.8838421444527178,0.8851603281133482,0.8845007451564829
amazon,2,0.9897886487770126,0.9924590507889739,0.9691001084206722,0.999813571961223,0.9842172875757019,0.9273331750178105,0.9113319666274323,0.900852052672347,0.8672632363907532,0.8837386018237082
amazon,3,0.9899667537402043,0.9925897128098797,0.9696257457964201,0.999813571961223,0.9844882973841211,0.9232961291854667,0.9075757339548467,0.8915384615384615,0.8642803877703207,0.8776978417266187
amazon,4,0.9903229636665876,0.9928510368516916,0.9706787330316742,0.999813571961223,0.985030764992194,0.9242460223224888,0.9128413192089735,0.8807749627421758,0.8814317673378076,0.8811032426388371
amazon,5,0.9895511754927571,0.9922848347610993,0.9684001444564825,0.999813571961223,0.9838561731792331,0.9299453811446212,0.9144401832321296,0.9047987616099071,0.8717375093214019,0.8879605013292822
yelp,1,0.999375,0.9993267985252392,0.9998497596153846,0.9993993092055864,0.9996244836650394,0.9135,0.832401057774192,0.9424673784104389,0.9543543543543543,0.9483736198149806
yelp,2,0.999375,0.9993267985252392,0.9998497596153846,0.9993993092055864,0.9996244836650394,0.91,0.812415400475102,0.9344645991808075,0.9591591591591592,0.94665085951393
yelp,3,0.99975,0.9995520575731442,0.9998498273013966,0.9998498273013966,0.9998498273013966,0.92,0.8339204876518309,0.9418672930123312,0.9633633633633634,0.9524940617577197
yelp,4,0.9995,0.9996996546027932,1.0,0.9993993092055864,0.9996995643683341,0.905,0.8106046344852316,0.9345904537418974,0.9525525525525526,0.9434860202260559
yelp,5,0.999375,0.9993265653713415,0.9998497821841671,0.9993993993993994,0.9996245400615754,0.9075,0.8244619963369964,0.9399167162403331,0.9495192307692307,0.9446935724962631
