train_domain,test_domain,fold,accuracy,precision,recall,f1,eval_type
imdb,imdb,1,0.9073,0.9047903001391373,0.9104,0.9075864819060911,IND
imdb,rotten,1,0.7232944658893178,0.7037185709593841,0.77136,0.7359883976108238,OOD
imdb,amazon,1,0.7629066729992876,0.608349146110057,0.7172259507829978,0.6583162217659138,OOD
imdb,yelp,1,0.84,0.9470744680851064,0.8555982700624699,0.8990154001514769,OOD
imdb,imdb,2,0.908,0.903960396039604,0.913,0.9084577114427861,IND
imdb,rotten,2,0.7212344246884937,0.6972117235969478,0.78216,0.7372469177694831,OOD
imdb,amazon,2,0.7646164806459274,0.6104027269284181,0.72110365398956,0.6611513742650075,OOD
imdb,yelp,2,0.8442,0.9452487496709661,0.8628063431042768,0.9021479713603818,OOD
imdb,imdb,3,0.9044,0.899604743083004,0.9104,0.9049701789264414,IND
imdb,rotten,3,0.7199343986879737,0.6963820136433444,0.77992,0.7357874676880696,OOD
imdb,amazon,3,0.7592970790786037,0.5881719271787138,0.814317673378076,0.6830122591943958,OOD
imdb,yelp,3,0.8518,0.9411916430229559,0.8767419509851033,0.9078243562632168,OOD
imdb,imdb,4,0.908,0.9007858546168959,0.917,0.908820614469772,IND
imdb,rotten,4,0.7204944098881978,0.6958468042775429,0.78344,0.7370500686774418,OOD
imdb,amazon,4,0.7691284730467822,0.6179329751854694,0.7205070842654735,0.6652895407284997,OOD
imdb,yelp,4,0.843,0.9491886139930833,0.8572801537722249,0.9008963514707738,OOD
imdb,imdb,5,0.9116,0.9088200238379023,0.915,0.9118995415587005,IND
imdb,rotten,5,0.7189543790875818,0.6945550184816605,0.78168,0.735546522131888,OOD
imdb,amazon,5,0.7392068392305866,0.5682482572520801,0.753765846383296,0.6479902557856273,OOD
imdb,yelp,5,0.8395,0.9443195344531147,0.857760691975012,0.898961284230406,OOD
rotten,rotten,1,0.7742,0.7739808153477218,0.7746,0.7742902838864454,IND
rotten,imdb,1,0.83882,0.8937020683244248,0.76912,0.8267440610555735,OOD
rotten,amazon,1,0.767181192115887,0.69144191972818,0.4856077554064131,0.5705274224636412,OOD
rotten,yelp,1,0.6801,0.9651479397349791,0.6387554060547813,0.7687414154557941,OOD
rotten,rotten,2,0.7736,0.7713209044030147,0.7778,0.7745469030073691,IND
rotten,imdb,2,0.83904,0.8941225704454571,0.76916,0.8269470605943319,OOD
rotten,amazon,2,0.7779624792210876,0.742822966507177,0.46308724832214765,0.5705098759761139,OOD
rotten,yelp,2,0.6591,0.9671165177722867,0.6112445939452187,0.7490614648509385,OOD
rotten,rotten,3,0.7838,0.7812128418549346,0.7884,0.7847899661556839,IND
rotten,imdb,3,0.83984,0.8920265780730897,0.77328,0.8284196091875214,OOD
rotten,amazon,3,0.7718831631441463,0.6899720335597284,0.515137956748695,0.5898727691913586,OOD
rotten,yelp,3,0.7003,0.9632979648634545,0.6653051417587699,0.7870390108718823,OOD
rotten,rotten,4,0.7814,0.7811750599520384,0.7818,0.7814874050379849,IND
