train_domain,fold,epoch,loss,acc,val_loss,val_acc
imdb,1,0,0.45227035880088806,0.7873499989509583,0.3157712519168854,0.8604999780654907
imdb,1,1,0.26308873295783997,0.9002249836921692,0.28751233220100403,0.8873000144958496
imdb,1,2,0.21944287419319153,0.9174249768257141,0.32726815342903137,0.8888999819755554
imdb,1,3,0.1662803292274475,0.9399750232696533,0.338365375995636,0.8805999755859375
imdb,1,4,0.12395413964986801,0.9568750262260437,0.31692835688591003,0.8914999961853027
imdb,2,0,0.4095515012741089,0.8177000284194946,0.29271677136421204,0.8831999897956848
imdb,2,1,0.25303709506988525,0.9043750166893005,0.2957354485988617,0.8851000070571899
imdb,2,2,0.18203523755073547,0.9332249760627747,0.3353196382522583,0.8597999811172485
imdb,2,3,0.14351920783519745,0.949150025844574,0.40134868025779724,0.8615999817848206
imdb,3,0,0.42477965354919434,0.8052499890327454,0.3549768328666687,0.8428000211715698
imdb,3,1,0.30777183175086975,0.8775500059127808,0.31090065836906433,0.8776000142097473
imdb,3,2,0.26288729906082153,0.8953499794006348,0.3594086468219757,0.8586000204086304
imdb,3,3,0.2496161162853241,0.9001500010490417,0.32154831290245056,0.8723000288009644
imdb,3,4,0.17434391379356384,0.9357749819755554,0.3610948622226715,0.8824999928474426
imdb,4,0,0.43426060676574707,0.8048250079154968,0.39379915595054626,0.8454999923706055
imdb,4,1,0.3366369307041168,0.8605999946594238,0.33119997382164,0.861299991607666
imdb,4,2,0.22131191194057465,0.916949987411499,0.31384173035621643,0.882099986076355
imdb,4,3,0.1510889083147049,0.9460750222206116,0.3569657802581787,0.8737000226974487
imdb,4,4,0.11615384370088577,0.9598000049591064,0.4174708127975464,0.8704000115394592
imdb,4,5,0.11395764350891113,0.9607250094413757,0.38667434453964233,0.8756999969482422
imdb,5,0,0.46261483430862427,0.7835249900817871,0.34023964405059814,0.8628000020980835
imdb,5,1,0.28598523139953613,0.888824999332428,0.31685784459114075,0.8799999952316284
imdb,5,2,0.19727423787117004,0.9274500012397766,0.32782143354415894,0.8689000010490417
imdb,5,3,0.17533452808856964,0.9361749887466431,0.3873302638530731,0.8752999901771545
imdb,5,4,0.10992784053087234,0.9615749716758728,0.4043735861778259,0.8759999871253967
rotten,1,0,0.5443982481956482,0.7175429463386536,0.469483882188797,0.7754999995231628
rotten,1,1,0.3768085539340973,0.832770824432373,0.4672394394874573,0.7767000198364258
rotten,1,2,0.28241005539894104,0.8797969818115234,0.5071381330490112,0.774399995803833
rotten,1,3,0.202865332365036,0.9163728952407837,0.6843430399894714,0.7656999826431274
rotten,1,4,0.14655877649784088,0.9407235383987427,0.7530375719070435,0.7615000009536743
rotten,2,0,0.5398164987564087,0.720943033695221,0.4755641222000122,0.7667999863624573
rotten,2,1,0.3708752989768982,0.8339458703994751,0.47903403639793396,0.7750999927520752
rotten,2,2,0.2757055163383484,0.883272111415863,0.5518125295639038,0.770799994468689
rotten,2,3,0.20166565477848053,0.9159228801727295,0.625055193901062,0.760200023651123
rotten,3,0,0.5434040427207947,0.7165929079055786,0.4595112204551697,0.781000018119812
rotten,3,1,0.3734407424926758,0.8352958559989929,0.4673289954662323,0.7774999737739563
rotten,3,2,0.2778055965900421,0.8796719908714294,0.5331249237060547,0.7712000012397766
rotten,3,3,0.20592470467090607,0.9152728915214539,0.6007037162780762,0.7656999826431274
rotten,4,0,0.5368307828903198,0.7242680788040161,0.47629332542419434,0.7774999737739563
rotten,4,1,0.3685746192932129,0.8357458710670471,0.48160868883132935,0.7736999988555908
