train_domain,test_domain,fold,accuracy,precision,recall,f1,eval_type
imdb,imdb,1,0.8873,0.8590308370044053,0.9287557054971225,0.892533613044722,IND
imdb,rotten,1,0.7029340586811736,0.6634030081484106,0.82392,0.7349997323770272,OOD
imdb,amazon,1,0.7178342436475896,0.5442334414080593,0.7009694258016406,0.6127371097060166,OOD
imdb,yelp,1,0.811,0.9370923913043478,0.8285679961556944,0.8794950267788829,OOD
imdb,imdb,2,0.8832,0.9045087196937474,0.8553901850362028,0.8792640066156708,IND
imdb,rotten,2,0.6913538270765416,0.741372351160444,0.58776,0.6556894243641231,OOD
imdb,amazon,2,0.7175967703633341,0.5574738755111313,0.548993288590604,0.5532010820559062,OOD
imdb,yelp,2,0.7289,0.9558226408965406,0.7069918308505526,0.812789172018507,OOD
imdb,imdb,3,0.8776,0.8543543543543544,0.9104,0.8814872192099148,IND
imdb,rotten,3,0.7117342346846937,0.6908736883856778,0.7664,0.72667968824076,OOD
imdb,amazon,3,0.7449536927095701,0.58497772119669,0.6853094705443699,0.6311813186813187,OOD
imdb,yelp,3,0.7735,0.947819660014782,0.7703027390677559,0.849890648817019,OOD
imdb,imdb,4,0.8821,0.8928718582612278,0.8680152213098338,0.8802681019599878,IND
imdb,rotten,4,0.7047140942818856,0.6888979109766,0.7466,0.7165892425231313,OOD
imdb,amazon,4,0.7376395155545001,0.5791024782317482,0.6447427293064877,0.6101623147494707,OOD
imdb,yelp,4,0.7774,0.9501033362857987,0.7731859682844786,0.8525632534110478,OOD
imdb,imdb,5,0.88,0.8812776215347529,0.8781024819855885,0.879687186685382,IND
imdb,rotten,5,0.6982339646792936,0.6577038121300833,0.82676,0.7326055364548257,OOD
imdb,amazon,5,0.7245309902635954,0.5529797447605667,0.704399701715138,0.6195723468450741,OOD
imdb,yelp,5,0.8001,0.9349470499243571,0.8166746756367131,0.871817890349471,OOD
rotten,rotten,1,0.7767,0.8027330835353758,0.7313253012048193,0.765367237574866,IND
rotten,imdb,1,0.7354,0.7719500924214417,0.6682,0.7163379073756432,OOD
rotten,amazon,1,0.7242460223224887,0.5885365373251921,0.44563758389261743,0.5072143948395859,OOD
rotten,yelp,1,0.594,0.9238568588469185,0.5582652570879385,0.6959712445709151,OOD
rotten,rotten,2,0.7668,0.7943966468122656,0.7200559888022395,0.7554017201594294,IND
