train_domain,fold,epoch,train_loss,val_loss
imdb,1,1,0.32489622497558596,0.2750491279834947
imdb,1,2,0.21052664074897767,0.31528527846637244
imdb,1,3,0.12565640724897384,0.33699667053862503
imdb,2,1,0.3311855125427246,0.26725322797227974
imdb,2,2,0.21603419990539552,0.2529111666658435
imdb,2,3,0.1296112442433834,0.3278878758224055
imdb,3,1,0.32754721870422365,0.27797879394108116
imdb,3,2,0.21341166630983352,0.2840214305982803
imdb,3,3,0.12993513718247413,0.3404515877294655
imdb,4,1,0.3283906029701233,0.2659703719254119
imdb,4,2,0.21053150622844696,0.27423571033504446
imdb,4,3,0.12429983246326447,0.33649607597829434
imdb,5,1,0.3277024339199066,0.269281148124998
imdb,5,2,0.21296573646068573,0.2780499913917182
imdb,5,3,0.12757214342951775,0.32869540195400343
rotten,1,1,0.41857352733612063,0.3632589042567597
rotten,1,2,0.2847602717399597,0.3550695275155881
rotten,1,3,0.17607682359218596,0.3858529994496332
rotten,2,1,0.41341773760318756,0.3759675249695397
rotten,2,2,0.2820212811231613,0.37305920035503926
rotten,2,3,0.1739506481051445,0.4602576964876998
rotten,3,1,0.4153181426525116,0.3551489952178047
rotten,3,2,0.28389448170661924,0.3559941732750152
rotten,3,3,0.17325855894088746,0.4023108097572867
rotten,4,1,0.4166037869215012,0.35471112945209293
rotten,4,2,0.2861571844816208,0.35469983171778746
rotten,4,3,0.17402819657325744,0.41901055340188
rotten,5,1,0.413670566368103,0.3624918449896212
rotten,5,2,0.2830160605430603,0.3799759962926277
rotten,5,3,0.17392850923538208,0.42127760068867537
amazon,1,1,0.2356652365237531,0.18047683341710857
amazon,1,2,0.14081813624054476,0.20621772602934277
amazon,1,3,0.09271103695416699,0.216787924975947
amazon,2,1,0.2327598979594133,0.18357539275012008
amazon,2,2,0.145619539483901,0.17225347174980649
amazon,2,3,0.09784843286312056,0.2044072308873927
amazon,3,1,0.22775735223994537,0.17502944754210836
amazon,3,2,0.13860840353923912,0.19798338211451968
amazon,3,3,0.09421227495247883,0.2158099418456638
amazon,4,1,0.23808386309719176,0.18393546012653547
amazon,4,2,0.14082488100940407,0.2085218128508352
amazon,4,3,0.09844326049768043,0.18333027736199173
amazon,5,1,0.23012457219654062,0.18000917825283427
amazon,5,2,0.14268353660599783,0.1757642041158044
amazon,5,3,0.09528186680674836,0.20475342070373395
yelp,1,1,0.3087371091842651,0.22461750878701134
yelp,1,2,0.1862506526708603,0.22467399211156935
yelp,1,3,0.10634998667240143,0.2548036513229211
yelp,2,1,0.31104368448257447,0.22091486328651036
yelp,2,2,0.18626823854446412,0.2012547611717194
yelp,2,3,0.11314372229576111,0.27076397703162264
yelp,3,1,0.3013211364746094,0.23552693781398593
yelp,3,2,0.17633541309833525,0.2667112071362753
yelp,3,3,0.09953092163801193,0.26409336773767356
yelp,4,1,0.2888500099182129,0.2243393657226411
yelp,4,2,0.16958699691295623,0.2860860282348262
yelp,4,3,0.09936918741464615,0.28678600067302346
yelp,5,1,0.28575876021385194,0.22118713848647617
yelp,5,2,0.17704618418216705,0.21511125434485692
yelp,5,3,0.0973762731552124,0.29347198817228515
