train_domain,test_domain,fold,accuracy,precision,recall,f1,eval_type
amazon,amazon,4,0.9318451674186654,0.910436137071651,0.8717375093214019,0.8906666666666667,IND
amazon,imdb,4,0.73474,0.8824871276803754,0.5416,0.6712440819968768,OOD
amazon,rotten,4,0.7057141142822857,0.6921323968918112,0.74108,0.7157703600679957,OOD
amazon,yelp,4,0.8276,0.9556752278376139,0.8314512253724171,0.8892457921110112,OOD
amazon,amazon,5,0.9365946331037758,0.9255150554675119,0.8709917971662938,0.8974260468689973,IND
amazon,imdb,5,0.72764,0.8105085115670013,0.5942,0.6856997784342689,OOD
amazon,rotten,5,0.6645732914658293,0.6428298677404798,0.74072,0.6883119296745777,OOD
amazon,yelp,5,0.8341,0.9368200288373313,0.8586016338298895,0.8960070206230804,OOD
yelp,yelp,1,0.909,0.9354081033470346,0.9567567567567568,0.9459619952494062,IND
yelp,imdb,1,0.71798,0.6458918962332343,0.96504,0.7738521001395282,OOD
yelp,rotten,1,0.6340326806536131,0.5816003506550431,0.95536,0.7230345412163593,OOD
yelp,amazon,1,0.8617905485632866,0.7606814122819069,0.8258016405667412,0.7919050343249427,OOD
yelp,yelp,2,0.907,0.9119777158774374,0.9831831831831832,0.946242774566474,IND
yelp,imdb,2,0.65018,0.5897154053860307,0.98716,0.7383506110786997,OOD
yelp,rotten,2,0.6114522290445809,0.5649518659238713,0.96948,0.7138922843551642,OOD
yelp,amazon,2,0.8201377345048682,0.6694541231126597,0.8596569724086502,0.7527260855370552,OOD
yelp,yelp,3,0.911,0.947083583884546,0.9459459459459459,0.9465144230769231,IND
yelp,imdb,3,0.78716,0.7322849932052029,0.90528,0.8096447608485673,OOD
yelp,rotten,3,0.7067141342826857,0.6538919659341313,0.87836,0.7496842033389096,OOD
yelp,amazon,3,0.8829731655188792,0.8243842741318648,0.8037285607755407,0.8139253889140613,OOD
yelp,yelp,4,0.895,0.927689594356261,0.9477477477477477,0.9376114081996435,IND
yelp,imdb,4,0.74696,0.6804102624043014,0.9314,0.7863631758468137,OOD
yelp,rotten,4,0.6463329266585331,0.5917722312805719,0.94364,0.7273876512757265,OOD
yelp,amazon,4,0.8531940156732367,0.7361474124411919,0.8401193139448173,0.7847043254161733,OOD
yelp,yelp,5,0.91,0.924,0.9717548076923077,0.9472759226713533,IND
yelp,imdb,5,0.7385,0.666713267160632,0.9538,0.7848267917386653,OOD
yelp,rotten,5,0.6672333446668933,0.6085635646032406,0.93748,0.7380337574001763,OOD
yelp,amazon,5,0.8570885775350273,0.7506782419967445,0.8253542132736763,0.7862470696881437,OOD
